Character,Relation,Attribute,Content
,,story_formless_sculpture_103,Such skillfully-carved sigils...! Brilliant!
,,story_formless_sculpture_104,No natural law could permit this form to stand.
,,story_formless_sculpture_106,It sings out for my hands...
,,story_formless_sculpture_108,It's so smooth...
,,story_formless_sculpture_110,Mountains and valleys formed by the dance of sun and moon...
,,story_formless_sculpture_113,I feel a strange need to touch it...
,,story_formless_sculpture_114,Such skillfully-carved sigils...! Brilliant!
,,story_formless_sculpture_115,No natural law could permit this form to stand.
,,story_formless_sculpture_116,It sings out for my hands...
,,story_formless_sculpture_117,It's so smooth...
,,story_formless_sculpture_118,Mountains and valleys formed by the dance of sun and moon...
,,story_formless_sculpture_201,Is this the shape described in the Temporean Folio?
,,story_formless_sculpture_202,Is this the shape described in the Temporean Folio?
,,story_formless_sculpture_203,Gaze not upon this thrice-cursed thing!
,,story_formless_sculpture_204,"No, I will not look!"
,,story_formless_sculpture_301,I think it's time we stuffed our pockets eh?
,,story_formless_sculpture_302,I think it's time we stuffed our pockets eh?
,,story_formless_sculpture_303,That stagecoach rattles something fierce when the coffers lay bare.
,,story_formless_sculpture_304,That stagecoach rattles something fierce when the coffers lay bare.
,,story_formless_sculpture_601,Is that art? Not interested.
,,story_formless_sculpture_602,We risk ambush tarrying to look at this thing.
,,story_formless_sculpture_603,It behooves us to avoid this particular blasphemy.
,,story_formless_sculpture_604,I care not for such subjective pursuits.
,,story_formless_sculpture_605,No ensconced gems? No filligree? Cheap work.
,,story_formless_sculpture_606,"Alas, I left my chisel back on the coach."
,,story_formless_sculpture_607,Foul thing.
,,story_formless_sculpture_608,Hah. No.
,,story_formless_sculpture_609,Looks wrong somehow. I don't like it.
,,story_formless_sculpture_610,Reason fled this cage like birds startled by thunder.
,,story_formless_sculpture_701,I cannot press my mind further!
,,story_hovering_polyhedra_103,Imagine wielding this power for ourselves!
,,story_hovering_polyhedra_104,Imagine wielding this power for ourselves!
,,story_hovering_polyhedra_105,I will channel these strange forces to our advantage!
,,story_hovering_polyhedra_106,I will channel these strange forces to our advantage!
,,story_hovering_polyhedra_107,Brilliant! Inscrutable! We've much to learn from it.
,,story_hovering_polyhedra_108,Brilliant! Inscrutable! We've much to learn from it.
,,story_hovering_polyhedra_109,So many facets - the mark of a skilled maker...
,,story_hovering_polyhedra_110,So many facets - the mark of a skilled maker...
,,story_hovering_polyhedra_111,"...You all can hear it too, right? That resonance..."
,,story_hovering_polyhedra_112,"...You all can hear it too, right? That resonance..."
,,story_hovering_polyhedra_119,"Such a clear blue, like the sky after a sandstorm has passed."
,,story_hovering_polyhedra_120,"Such a clear blue, like the sky after a sandstorm has passed."
,,story_hovering_polyhedra_1030,Imagine wielding this power for ourselves!
,,story_hovering_polyhedra_1040,Imagine wielding this power for ourselves!
,,story_hovering_polyhedra_1050,I will channel these strange forces to our advantage!
,,story_hovering_polyhedra_1060,I will channel these strange forces to our advantage!
,,story_hovering_polyhedra_1070,Brilliant! Inscrutable! We've much to learn from it.
,,story_hovering_polyhedra_1080,Brilliant! Inscrutable! We've much to learn from it.
,,story_hovering_polyhedra_1090,So many facets - the mark of a skilled maker...
,,story_hovering_polyhedra_1100,So many facets - the mark of a skilled maker...
,,story_hovering_polyhedra_1110,"...You all can hear it too, right? That resonance..."
,,story_hovering_polyhedra_1120,"...You all can hear it too, right? That resonance..."
,,story_hovering_polyhedra_1130,"Such a clear blue, like the sky after a sandstorm has passed."
,,story_hovering_polyhedra_1140,"Such a clear blue, like the sky after a sandstorm has passed."
,,story_hovering_polyhedra_501,I've seen those runes before...
,,story_hovering_polyhedra_502,I've seen those runes before...
,,story_hovering_polyhedra_601,This will open such doors for us!
,,story_hovering_polyhedra_602,This will open such doors for us!
,,story_hovering_polyhedra_651,There are certain angles that offer glimpses of the future...
,,story_hovering_polyhedra_652,There are certain angles that offer glimpses of the future...
,,story_hovering_polyhedra_1701,I think it's time we stuffed our pockets eh?
,,story_hovering_polyhedra_1702,I think it's time we stuffed our pockets eh?
,,story_hovering_polyhedra_1703,That stagecoach rattles something fierce when the coffers lay bare.
,,story_hovering_polyhedra_1704,That stagecoach rattles something fierce when the coffers lay bare.
,,story_hovering_polyhedra_701,No good comes of this stuff.
,,story_hovering_polyhedra_702,This meddling could destroy us all!
,,story_hovering_polyhedra_703,"This is unfamiliar, even to me."
,,story_hovering_polyhedra_704,The results would be too unpredictable!
,,story_hovering_polyhedra_705,This kind of dabbling ends in doom.
,,story_hovering_polyhedra_706,I can't harmonize with this dissonance.
,,story_hovering_polyhedra_707,The elders warned us against these things.
,,story_hovering_polyhedra_708,Hexes. Curses. *snort*
,,story_hovering_polyhedra_709,We're wasting time here...!
,,story_hovering_polyhedra_710,"The kingdom of the mind, invaded and conquered."
,,story_hovering_polyhedra_801,Unholy dabbling brings only ruin.
,,story_hovering_polyhedra_802,Why trifle with that which lies beyond our senses?!
,,story_hovering_polyhedra_901,Get that blasphemy behind us!
,,story_hovering_polyhedra_1001,I cannot press my mind further!
,,story_memories_of_a_dream_101,A curious mix of astral and material artistry.
,,story_memories_of_a_dream_102,It might fetch a handsome price if it's signed...
,,story_memories_of_a_dream_103,Good composition.
,,story_memories_of_a_dream_104,Let's have a closer look...
,,story_memories_of_a_dream_105,A curious mix of astral and physical artistry. Let's see here...
,,story_memories_of_a_dream_106,Some people stash valuables behind the canvas...
,,story_memories_of_a_dream_107,Interesting.
,,story_memories_of_a_dream_108,Let's have a closer look...
,,story_memories_of_a_dream_1201,I think it's time we stuffed our pockets eh?
,,story_memories_of_a_dream_1202,I think it's time we stuffed our pockets eh?
,,story_memories_of_a_dream_1203,That stagecoach rattles something fierce when the coffers lay bare.
,,story_memories_of_a_dream_1204,That stagecoach rattles something fierce when the coffers lay bare.
,,story_memories_of_a_dream_201,This would only take up space.
,,story_memories_of_a_dream_202,"I'm no expert on the finer arts, but this is <i>awful.</i>"
,,story_memories_of_a_dream_203,This artist was courting powers best left alone...
,,story_memories_of_a_dream_204,"Ah, I recognize these pigments and dyes..."
,,story_memories_of_a_dream_205,"Amateurish work, would never sell at auction."
,,story_memories_of_a_dream_206,Not my preferred medium.
,,story_memories_of_a_dream_207,Not enough wood to burn for heat.
,,story_memories_of_a_dream_208,I've seen better.
,,story_memories_of_a_dream_209,"Sheesh, I could draw better than that."
,,story_memories_of_a_dream_210,Cacophony rolls down the street. Shutters slam closed.
,,story_memories_of_a_dream_301,"Those shapes, those colours - something about this feels off."
,,story_memories_of_a_dream_401,I cannot press my mind further!
,,story_scary_song_105,"At the right resonance, the veil between worlds thins..."
,,story_scary_song_106,"At the right resonance, the veil between worlds thins..."
,,story_scary_song_107,Are these the rumoured psychoacoustics? Impossible...
,,story_scary_song_108,Are these the rumoured psychoacoustics? Impossible...
,,story_scary_song_109,Strange fare is my specialty.
,,story_scary_song_110,Strange fare is my specialty.
,,story_scary_song_111,I - I've heard this before...
,,story_scary_song_112,I - I've heard this before...
,,story_scary_song_113,The birdsong of my homeland...
,,story_scary_song_114,The birdsong of my homeland...
,,story_scary_song_115,Why is my foot tapping?
,,story_scary_song_116,Why is my foot tapping?
,,story_scary_song_117,*off-tune humming*
,,story_scary_song_118,*off-tune humming*
,,story_scary_song_119,It howls into the night like a dog. What will howl back?
,,story_scary_song_120,It howls into the night like a dog. What will howl back?
,,story_scary_song_201,"Hold a moment, I've nearly got the melody..."
,,story_scary_song_202,"Hold a moment, I've nearly got the melody..."
,,story_scary_song_301,The prison gallows' bell...!
,,story_scary_song_302,The wailing of widows come to the battlefield...
,,story_scary_song_303,Resonances designed to shear the soul from the body!
,,story_scary_song_304,Perhaps I just don't like music?
,,story_scary_song_305,A horrid gavotte with a partner you despise...
,,story_scary_song_306,I swore I wouldn't meddle with the likes of this again.
,,story_scary_song_307,I hear their jeers... their taunts!
,,story_scary_song_308,Too many notes.
,,story_scary_song_309,They gifted me a music box once...
,,story_scary_song_310,My mask groans in resonance with this awful dirge.
,,story_scary_song_401,Is that contraption playing music?! I will take my leave!
,,story_scary_song_402,I fear what will happen if the song ever finishes...!
,,story_scary_song_501,I cannot press my mind further!
,,story_sealed_doorway_101,Nothing like tumbling a lock to soothe the soul.
,,story_sealed_doorway_102,Who will crash this gate with me?
,,story_sealed_doorway_103,All doorways must be flung open - even those in the depths of the psyche!
,,story_sealed_doorway_104,Let's see what discoveries await us!
,,story_sealed_doorway_105,"If it's locked, someone valued what's behind it."
,,story_sealed_doorway_106,Break it down already!
,,story_sealed_doorway_107,Smash it.
,,story_sealed_doorway_108,I can't wait to see what's behind it!
,,story_sealed_doorway_109,"There is thrill in the unknown, and sometimes advantage."
,,story_sealed_doorway_110,Nothing like tumbling a lock to soothe the soul.
,,story_sealed_doorway_111,Who will crash this gate with me?
,,story_sealed_doorway_112,"Leave no corridor uninvestigated, be it our environs or the mind's."
,,story_sealed_doorway_113,Let's see what discoveries await us!
,,story_sealed_doorway_114,"If it's locked, someone valued what's behind it."
,,story_sealed_doorway_115,Break it down already!
,,story_sealed_doorway_116,Smash it.
,,story_sealed_doorway_117,I can't wait to see what's behind it!
,,story_sealed_doorway_118,"There is thrill in the unknown, and sometimes advantage."
,,story_sealed_doorway_119,Nothing like tumbling a lock to soothe the soul.
,,story_sealed_doorway_120,Who will crash this gate with me?
,,story_sealed_doorway_121,All doorways must be flung open - even those in the depths of the psyche!
,,story_sealed_doorway_122,Let's see what discoveries await us!
,,story_sealed_doorway_123,"If it's locked, someone valued what's behind it."
,,story_sealed_doorway_124,Break it down already!
,,story_sealed_doorway_125,Smash it.
,,story_sealed_doorway_126,I can't wait to see what's behind it!
,,story_sealed_doorway_127,"There is thrill in the unknown, and sometimes advantage."
,,story_sealed_doorway_201,Some see a lock - I see an invitation!
,,story_sealed_doorway_202,Some see a lock - I see an invitation!
,,story_sealed_doorway_203,The Seal of Micolash? Rumoured but unproven!
,,story_sealed_doorway_204,The Seal of Micolash? Rumoured but unproven!
,,story_sealed_doorway_205,Nothing <i>boring</i> ever hid behind that many seals...
,,story_sealed_doorway_206,Nothing <i>boring</i> ever hid behind that many seals...
,,story_sealed_doorway_301,I think it's time we stuffed our pockets eh?
,,story_sealed_doorway_302,I think it's time we stuffed our pockets eh?
,,story_sealed_doorway_303,That stagecoach rattles something fierce when the coffers lay bare.
,,story_sealed_doorway_304,That stagecoach rattles something fierce when the coffers lay bare.
,,story_sealed_doorway_601,Got a bad feeling about this. Let's move on.
,,story_sealed_doorway_602,I look at that door and my blood freezes.
,,story_sealed_doorway_603,Let it remain sealed.
,,story_sealed_doorway_604,"M-my body ignores my commands, fear conquers reason!"
,,story_sealed_doorway_605,"I love a good gamble, but not with these stakes."
,,story_sealed_doorway_606,"If we open that door, we deserve what we get."
,,story_sealed_doorway_607,It's closed for a reason!
,,story_sealed_doorway_608,Forget about this.
,,story_sealed_doorway_609,I survived out here by knowing my limits.
,,story_sealed_doorway_610,"Walls, doors, vaults - all exist for a reason."
,,story_sealed_doorway_701,This portal must keep vile forces at bay!
,,story_sealed_doorway_801,I cannot press my mind further!
,,story_shamblers_altar_101,That gem is priceless!
,,story_shamblers_altar_102,We'd be unassailable with this!
,,story_shamblers_altar_103,I must seize this power while I can!
,,story_shamblers_altar_104,Could there be other realities with their own laws?
,,story_shamblers_altar_105,"Cursed, surely. But how it shines..."
,,story_shamblers_altar_106,Imagine the harmonies from beyond our sphere!
,,story_shamblers_altar_107,My bones shake! I cannot refuse the call!
,,story_shamblers_altar_108,It... wants me.
,,story_shamblers_altar_109,I can hear it inside my head...
,,story_shamblers_altar_110,It has waited millenia for this moment. For us.
,,story_shamblers_altar_111,That gem is priceless!
,,story_shamblers_altar_112,We'd be unassailable with this!
,,story_shamblers_altar_113,I must seize this power while I can!
,,story_shamblers_altar_114,Could there be other realities with their own laws?
,,story_shamblers_altar_115,"Cursed, surely. But how it shines..."
,,story_shamblers_altar_116,Imagine the harmonies from beyond our sphere!
,,story_shamblers_altar_117,My bones shake! I cannot refuse the call!
,,story_shamblers_altar_118,It... wants me.
,,story_shamblers_altar_119,I can hear it inside my head...
,,story_shamblers_altar_120,It has waited millenia for this moment. For us.
,,story_shamblers_altar_130,Is this it? That most whispered of treasures...
,,story_shamblers_altar_131,Is this it? That most whispered of treasures...
,,story_shamblers_altar_132,This reeks of dark magic and troubling spirits.
,,story_shamblers_altar_133,That thing is glowing all on its own!
,,story_shamblers_altar_134,We came all this way - I must have it!
,,story_shamblers_altar_135,We came all this way - I must have it!
,,story_shamblers_altar_601,"This is beyond me, let us continue on."
,,story_shamblers_altar_602,Better not - we have no strategy ready.
,,story_shamblers_altar_603,"Darkness swirls around this one, let us make haste."
,,story_shamblers_altar_604,I have no remedy for this kind of torment.
,,story_shamblers_altar_605,My hand grows tired of holding this scented kerchief to my nose.
,,story_shamblers_altar_606,I fear we might be the butt of some cruel joke should we prod this thing.
,,story_shamblers_altar_607,The hairs on my neck stand like pines in winter.
,,story_shamblers_altar_608,Those shackles look ready to shatter.
,,story_shamblers_altar_609,"I can't bear to stay here, its suffering overwhelms me!"
,,story_shamblers_altar_610,If the way is foggy then the next step could be over a cliff.
,,story_shamblers_altar_701,I cannot press my mind further!
,,story_thought_experiment_101,Crude methods but there is power here.
,,story_thought_experiment_102,An ex vivo procedure.  What was learned here?
,,story_thought_experiment_103,You never know...
,,story_thought_experiment_104,Crude methods but there is power here.
,,story_thought_experiment_105,An ex vivo procedure.  What was learned here?
,,story_thought_experiment_106,You never know...
,,story_thought_experiment_201,New learnings trump cruel methodology.
,,story_thought_experiment_202,New learnings trump cruel methodology.
,,story_thought_experiment_203,Is that brain still warm? Let me see...
,,story_thought_experiment_204,Is that brain still warm? Let me see...
,,story_thought_experiment_601,This is vile and inhumane.
,,story_thought_experiment_602,What cruel mind could conceive this procedure?
,,story_thought_experiment_603,Gods that smell!
,,story_thought_experiment_604,My stomach turns...
,,story_thought_experiment_701,GODS NO!!!
,,story_thought_experiment_801,I cannot press my mind further!
,,story_timeworn_volumes_101,"I kept a diary once, on the front..."
,,story_timeworn_volumes_102,Sometimes the essence of the author can be felt...
,,story_timeworn_volumes_103,Squander not an opportunity to learn!
,,story_timeworn_volumes_104,"Some people hide flasks, or better, in hollowed books."
,,story_timeworn_volumes_105,Bah - spells are just fancy verses if you ask me.
,,story_timeworn_volumes_106,Books! I would hide from the sisters and read...
,,story_timeworn_volumes_107,Such things were my escape on my sickbed.
,,story_timeworn_volumes_109,"I kept a diary once, on the front..."
,,story_timeworn_volumes_110,Sometimes the essence of the author can be felt...
,,story_timeworn_volumes_111,Squander not an opportunity to learn!
,,story_timeworn_volumes_112,"Some people hide flasks, or better, in hollowed books."
,,story_timeworn_volumes_113,Bah - spells are just fancy verses if you ask me.
,,story_timeworn_volumes_114,Books! I would hide from the sisters and read...
,,story_timeworn_volumes_115,Such things were my escape on my sickbed.
,,story_timeworn_volumes_201,My skull throbs. Any distraction is welcome.
,,story_timeworn_volumes_203,My skull throbs. Any distraction is welcome.
,,story_timeworn_volumes_301,Could it be? Books that even I haven't read?
,,story_timeworn_volumes_302,Could it be? Books that even I haven't read?
,,story_timeworn_volumes_303,Rituals? Incantations? I must explore!
,,story_timeworn_volumes_304,Rituals? Incantations? I must explore!
,,story_timeworn_volumes_401,I think it's time we stuffed our pockets eh?
,,story_timeworn_volumes_402,I think it's time we stuffed our pockets eh?
,,story_timeworn_volumes_403,That stagecoach rattles something fierce when the coffers lay bare.
,,story_timeworn_volumes_404,That stagecoach rattles something fierce when the coffers lay bare.
,,story_timeworn_volumes_601,This is no time for fiction or fantasy.
,,story_timeworn_volumes_602,Smells like must and cockroaches.
,,story_timeworn_volumes_603,Distract ourselves <i>and</i> waste time? Foolish.
,,story_timeworn_volumes_701,"""Learned"" people caused this whole mess!"
,,story_timeworn_volumes_702,"These could be cursed, or doctored with lethal powders."
,,story_timeworn_volumes_703,I will not risk attracting dark forces by reading these!
,,story_timeworn_volumes_801,I cannot press my mind further!
,,story_vintage_collection_101,That one with the scarlet booze looks tasty.
,,story_vintage_collection_102,Should be a fine brandy in there...
,,story_vintage_collection_103,I have yet to sample extra-planar distillations.
,,story_vintage_collection_104,Nothing like an alcoholic decoction to soften the humours.
,,story_vintage_collection_105,"I'll try one of each, if you please."
,,story_vintage_collection_106,"Ah, sweet booze - you put the muse in amuse bouche."
,,story_vintage_collection_107,Whatever smells the strongest.
,,story_vintage_collection_108,"Whisky, neat."
,,story_vintage_collection_109,Best not get carried away. But maybe a sip...
,,story_vintage_collection_110,My kingdom was home to many vineyards...
,,story_vintage_collection_111,That one with the scarlet booze looks tasty.
,,story_vintage_collection_112,Should be a fine brandy in there...
,,story_vintage_collection_113,I have yet to sample extra-planar distillations.
,,story_vintage_collection_114,Nothing like an alcoholic decoction to soften the humours.
,,story_vintage_collection_115,"I'll try one of each, if you please."
,,story_vintage_collection_116,"Ah, sweet booze - you put the muse in amuse bouche."
,,story_vintage_collection_117,Whatever smells the strongest.
,,story_vintage_collection_118,"Whisky, neat."
,,story_vintage_collection_119,Best not get carried away. But maybe a sip...
,,story_vintage_collection_120,My kingdom was home to many vineyards...
,,story_vintage_collection_1010,That one with the scarlet booze looks tasty.
,,story_vintage_collection_1020,Should be a fine brandy in there...
,,story_vintage_collection_1030,I have yet to sample extra-planar distillations.
,,story_vintage_collection_1040,Nothing like an alcoholic decoction to soften the humours.
,,story_vintage_collection_1050,"I'll try one of each, if you please."
,,story_vintage_collection_1060,"Ah, sweet booze - you put the muse in amuse bouche."
,,story_vintage_collection_1070,Whatever smells the strongest.
,,story_vintage_collection_1080,"Whisky, neat."
,,story_vintage_collection_1090,Best not get carried away. But maybe a sip...
,,story_vintage_collection_1100,My kingdom was home to many vineyards...
,,story_vintage_collection_1110,That one with the scarlet booze looks tasty.
,,story_vintage_collection_1120,Should be a fine brandy in there...
,,story_vintage_collection_1130,I have yet to sample extra-planar distillations.
,,story_vintage_collection_1140,Nothing like an alcoholic decoction to soften the humours.
,,story_vintage_collection_1150,"I'll try one of each, if you please."
,,story_vintage_collection_1160,"Ah, sweet booze - you put the muse in amuse bouche."
,,story_vintage_collection_1170,Whatever smells the strongest.
,,story_vintage_collection_1180,"Whisky, neat."
,,story_vintage_collection_1190,Best not get carried away. But maybe a sip...
,,story_vintage_collection_1200,My kingdom was home to many vineyards...
,,story_vintage_collection_401,"Sweet oblivion, chase these thoughts from my head..."
,,story_vintage_collection_402,"Sweet oblivion, chase these thoughts from my head..."
,,story_vintage_collection_201,Move aside - I'll help myself!
,,story_vintage_collection_202,No doubt these will put some swagger in my step!
,,story_vintage_collection_203,"Let's enjoy what Providence places in our path - or in this case, my mouth!"
,,story_vintage_collection_204,Move aside - I'll help myself!
,,story_vintage_collection_205,No doubt these will put some swagger in my step!
,,story_vintage_collection_206,"Let's enjoy what Providence places in our path - or in this case, my mouth!"
,,story_vintage_collection_301,I think it's time we stuffed our pockets eh?
,,story_vintage_collection_302,I think it's time we stuffed our pockets eh?
,,story_vintage_collection_303,That stagecoach rattles something fierce when the coffers lay bare.
,,story_vintage_collection_304,That stagecoach rattles something fierce when the coffers lay bare.
,,story_vintage_collection_601,I won't survive with my senses dulled.
,,story_vintage_collection_602,Likely all turned to vinegar by now.
,,story_vintage_collection_603,Leave it - we can't afford the luxury of a hangover.
,,story_vintage_collection_604,I fear I would swallow some vile pickled specimen.
,,story_vintage_collection_605,"Much as I regret it, we must stay sharp."
,,story_vintage_collection_606,"If we all drank, who would drive the coach?"
,,story_vintage_collection_607,I prefer our stash on the stagecoach.
,,story_vintage_collection_608,Could have been tampered with.
,,story_vintage_collection_609,We'll be ambushed for sure if we indulge.
,,story_vintage_collection_610,I must keep my mind keen as my body withers.
,,story_vintage_collection_611,I cannot press my mind further!
,,story_unsettling_portrait_101,If nothing else that frame looks valuable.
,,story_unsettling_portrait_102,There are sigils patterned in the brushstrokes...
,,story_unsettling_portrait_103,"Can't say why, but I like looking at it."
,,story_unsettling_portrait_104,"Buff off some grime, would you? That frame looks gilded."
,,story_unsettling_portrait_105,If nothing else that frame looks valuable.
,,story_unsettling_portrait_106,There are sigils patterned in the brushstrokes...
,,story_unsettling_portrait_107,"Can't say why, but I like looking at it."
,,story_unsettling_portrait_108,"Buff off some grime, would you? That frame looks gilded."
,,story_unsettling_portrait_201,There is no way this is just an ordinary painting.
,,story_unsettling_portrait_202,There is no way this is just an ordinary painting.
,,story_unsettling_portrait_301,I think it's time we stuffed our pockets eh?
,,story_unsettling_portrait_302,I think it's time we stuffed our pockets eh?
,,story_unsettling_portrait_303,That stagecoach rattles something fierce when the coffers lay bare.
,,story_unsettling_portrait_304,That stagecoach rattles something fierce when the coffers lay bare.
,,story_unsettling_portrait_601,What a dull subject for a portrait.
,,story_unsettling_portrait_602,His eyes seem to follow me when I move...
,,story_unsettling_portrait_603,Wh-what was that? Do you hear whispering?
,,story_unsettling_portrait_604,Gooseflesh prickles my arms. Let's go.
,,story_unsettling_portrait_605,I feel... observed. It makes my skin crawl.
,,story_unsettling_portrait_606,"A masterpiece, but I absolutely hate it."
,,story_unsettling_portrait_607,This would only take up space.
,,story_unsettling_portrait_608,Why would we ever want this?
,,story_unsettling_portrait_609,I'm afraid to turn my back to it...
,,story_unsettling_portrait_610,Perhaps some subjects should fade from living memory.
,,story_unsettling_portrait_611,I cannot press my mind further!
,,story_unsettling_portrait_901,"It's hanging crooked, I simply must adjust it..."
,,story_unsettling_portrait_902,Look at all that grime and dust. Yuck!
,,story_thing_in_corner_101,I won't stand for this kind of confinement.
,,story_thing_in_corner_102,We ought to end its suffering one way or the other.
,,story_thing_in_corner_103,Its mind may be yet unbroken. Cruel to leave it...
,,story_thing_in_corner_104,"I could extract a sample, see what ails it..."
,,story_thing_in_corner_105,Let it loose on its captors for all I care.
,,story_thing_in_corner_106,Heh heh. Pathetic little thing. Let's free it.
,,story_thing_in_corner_107,Free it and let nature run its course.
,,story_thing_in_corner_108,I'm no torturer. Free it.
,,story_thing_in_corner_109,We can't leave it to starve...
,,story_thing_in_corner_110,I cannot abide such suffering.
,,story_thing_in_corner_111,I won't stand for this kind of confinement.
,,story_thing_in_corner_112,We ought to end its suffering one way or the other.
,,story_thing_in_corner_113,Its mind may be yet unbroken. Cruel to leave it...
,,story_thing_in_corner_114,"I could extract a sample, see what ails it..."
,,story_thing_in_corner_115,Let it loose on its captors for all I care.
,,story_thing_in_corner_116,Heh heh. Pathetic little thing. Let's free it.
,,story_thing_in_corner_117,Free it and let nature run its course.
,,story_thing_in_corner_118,I'm no torturer. Free it.
,,story_thing_in_corner_119,We can't leave it to starve...
,,story_thing_in_corner_120,I cannot abide such suffering.
,,story_thing_in_corner_1010,I won't stand for this kind of confinement.
,,story_thing_in_corner_1020,We ought to end its suffering one way or the other.
,,story_thing_in_corner_1030,Its mind may be yet unbroken. Cruel to leave it...
,,story_thing_in_corner_1040,"I could extract a sample, see what ails it..."
,,story_thing_in_corner_1050,Let it loose on its captors for all I care.
,,story_thing_in_corner_1060,Heh heh. Pathetic little thing. Let's free it.
,,story_thing_in_corner_1070,Free it and let nature run its course.
,,story_thing_in_corner_1080,I'm no torturer. Free it.
,,story_thing_in_corner_1090,We can't leave it to starve...
,,story_thing_in_corner_1100,I cannot abide such suffering.
,,story_thing_in_corner_1110,I won't stand for this kind of confinement.
,,story_thing_in_corner_1120,We ought to end its suffering one way or the other.
,,story_thing_in_corner_1130,Its mind may be yet unbroken. Cruel to leave it...
,,story_thing_in_corner_1140,"I could extract a sample, see what ails it..."
,,story_thing_in_corner_1150,Let it loose on its captors for all I care.
,,story_thing_in_corner_1160,Heh heh. Pathetic little thing. Let's free it.
,,story_thing_in_corner_1170,Free it and let nature run its course.
,,story_thing_in_corner_1180,I'm no torturer. Free it.
,,story_thing_in_corner_1190,We can't leave it to starve...
,,story_thing_in_corner_1200,I cannot abide such suffering.
,,story_thing_in_corner_201,I wonder if it can speak...
,,story_thing_in_corner_202,I wonder if it can speak...
,,story_thing_in_corner_203,Wonder what would happen if I prodded it...
,,story_thing_in_corner_204,Wonder what would happen if I prodded it...
,,story_thing_in_corner_205,"Human or not, it's clearly suffering..."
,,story_thing_in_corner_206,"Human or not, it's clearly suffering..."
,,story_thing_in_corner_601,Brings back unsettling memories. Let's be off.
,,story_thing_in_corner_602,We have no idea what it's capable of.
,,story_thing_in_corner_603,"Dark, awful energies pervade this place..."
,,story_thing_in_corner_604,This specimen is beyond the help of medicine.
,,story_thing_in_corner_605,Mayhap it's chained for good reason.
,,story_thing_in_corner_606,Nuh-uh. It looks hungry.
,,story_thing_in_corner_607,Gets my hackles up. Let us be gone.
,,story_thing_in_corner_608,Those shackles won't hold forever...
,,story_thing_in_corner_609,"I can't bear to look at it. Please, let's go."
,,story_thing_in_corner_610,Pain can drive a man - or a beast - to frenzy...
,,story_thing_in_corner_701,Those nails look sharp.
,,story_thing_in_corner_702,I cannot press my mind further!
,,story_creature_den_fight_01,Eyes up - they could travel in packs.
,,story_creature_den_fight_02,Simple beasts. Outmaneuver and overpower!
,,story_creature_den_fight_03,No creature in this place is truly mundane...
,,story_creature_den_fight_04,The wildlife here has certainly grown curious.
,,story_creature_den_fight_05,A rank hole in the ground? Folly.
,,story_creature_den_fight_06,Reeks of musk and critters.
,,story_creature_den_fight_07,Evils not even fit to be tanned as furs!
,,story_creature_den_fight_08,Put 'em down.
,,story_creature_den_fight_09,Looks awful enclosed in there...
,,story_creature_den_fight_10,"The hares, the mice, all fled from these corrupted aspects."
,,story_creature_den_fight_21,Outfox them!
,,story_creature_den_fight_22,Let us smoke them out!
,,story_creature_den_fight_23,They shrink from our flame!
,,story_creature_den_fight_24,"Away with you, foul things!"
,,story_creature_den_fight_25,Cull these mongrels lest they come for us by night!
,,story_creature_den_fight_26,No longer shall they foul the road!
,,story_creature_den_fight_201,Give these curs no quarter!
,,story_creature_den_fight_202,Let us see what fiends await!
,,story_creature_den_advantage_01,These tracks look fresh. Draw!
,,story_creature_den_advantage_02,Beasts know not our cunning!
,,story_creature_den_advantage_03,Lower minds are easier to deceive. Allow me...
,,story_creature_den_advantage_04,Fear not! I have tinctures for such bites.
,,story_creature_den_advantage_05,We approach the fiends downwind. <i>Perfect.</i>
,,story_creature_den_advantage_06,I've tangled with street curs. They're no tougher.
,,story_creature_den_advantage_07,Storm the pack before they catch our scent!
,,story_creature_den_advantage_08,"Wait 'til they're settled, then strike."
,,story_creature_den_advantage_09,Smoke the bastards out!
,,story_creature_den_advantage_10,"Restless, hungry - they soon prowl our way."
,,story_creature_den_advantage_11,We outnumber them! To arms!
,,story_creature_den_advantage_12,They have yet to scent us!
,,story_creature_den_advantage_13,"Press on, they are but beasts!"
,,story_creature_den_advantage_14,Why tarry?!
,,story_creature_den_advantage_15,Let us pin them down like dogs!
,,story_creature_den_advantage_16,Horrid creatures - be gone from here!
,,story_creature_den_advantage_201,See how they shy from our flame!
,,story_creature_den_advantage_202,"Closer in formation, these quarters are tight!"
,,story_creature_den_advantage_203,A show of strength cows the beasts!
,,story_creature_den_advantage_401,I've had enough!
,,story_creature_den_advantage_402,I may bleed but you will receive far worse.
,,story_creature_den_advantage_301,Shadows may conceal us for a first strike...
,,story_creature_den_advantage_302,Fall on the beasts quickly! Drive them into confusion!
,,story_creature_den_advantage_303,At them before our light expires...!
,,story_creature_den_food_advantage_101,Lure them out with some offal...
,,story_creature_den_food_advantage_102,We've meat to spare - let us taint some.
,,story_creature_den_advantage_dardevil_101,"Make your graves, foul creatures!"
,,story_creature_den_advantage_bloodthirsty_101,Your entrails will fall in ribbons at my feet!
,,story_creature_den_flee_01,We don't know their numbers. Fall back.
,,story_creature_den_flee_02,This terrain favours us not.
,,story_creature_den_flee_03,My spine prickles. Let us away.
,,story_creature_den_flee_04,I will not fall as some beast's supper!
